Category ,Park,Area Name,State
 National Park & Preserve, Denali National Park & Preserve, Denali, AK  
 National Monument, Devils Postpile National Monument, Devils Postpile, CA  
 National Monument, Devils Tower National Monument, Devils Tower, WY  
 National Park, Death Valley National Park, Death Valley,NV  
 National Park, Death Valley National Park, Death Valley, CA
 National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap,PA  
 National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap, NJ
 National Monument, Dinosaur National Monument, Dinosaur,UT  
 National Monument, Dinosaur National Monument, Dinosaur, CO 
" ebla, designation", National Historical Reserve," ""Ebeys Landing National Historical Reserve""", WA  
 National Monument, Effigy Mounds National Monument, Effigy Mounds, IA  
 National Historic Trail, El Camino Real de Tierra Adentro National Historic Trail, El Camino Real de Tierra Adentro,TX  
 National Historic Trail, El Camino Real de Tierra Adentro National Historic Trail, El Camino Real de Tierra Adentro, NM
 National Monument, El Malpais National Monument, El Malpais, NM  
 National Monument, El Morro National Monument, El Morro, NM  
 National Historic Site, Eleanor Roosevelt National Historic Site, Eleanor Roosevelt, NY  
 National Park, Everglades National Park, Everglades, FL  
 National Seashore, Fire Island National Seashore, Fire Island, NY  
 National Monument, Florissant Fossil Beds National Monument, Florissant Fossil Beds, CO  
 National Memorial, Flight 93 National Memorial, Flight 174, PA  
 National Monument, Fossil Butte National Monument, Fossil Butte, WY  
 National Historic Site, Fort Davis National Historic Site, Fort Davis, TX  
 National Battlefield, Fort Donelson National Battlefield, Fort Donelson,TN  
 National Battlefield, Fort Donelson National Battlefield, Fort Donelson, KY 
