Total Campers,Park Name,Total Visits,Total Tent Campers,Total RV Campers,Total Backcountry Campers
14889,Natchez Trace PKWY,6296041,5589,9300,0
0,National Capital Parks Central,1770794,0,0,0
0,National Capital Parks East,1210641,0,0,0
0,National Park of American Samoa,60006,0,0,0
0,New Bedford Whaling NHP,143427,0,0,0
0,New Orleans Jazz NHP,41049,0,0,0
6106,New River Gorge NP & PRES,1195721,5074,1032,0
0,Nez Perce NHP,216068,0,0,0
0,Niobrara NSR,60812,0,0,0
5650,Noatak NPRES,17216,0,0,5650
27581,North Cascades NP,38208,0,0,27581
8986,Obed W&SR,221301,8686,0,300
0,Ocmulgee Mounds NHP,146925,0,0,0
305134,Olympic NP,3245806,134569,73701,96864
93961,Ozark NSR,1221489,63168,19788,11005
68836,Padre Island NS,576299,20010,35225,13601
0,Palo Alto Battlefield NHP,149733,0,0,0
0,Paterson Great Falls NHP,276985,0,0,0
0,Pecos NHP,43834,0,0,0
0,Perry's Victory & Intl. Peace MEM,121325,0,0,0
0,Petersburg NB,235691,0,0,0
1451,Petrified Forest NP,643588,0,0,1451
51242,Pictured Rocks NL,858715,16851,6212,28179
0,Pinnacles NP,177224,0,0,0
0,Piscataway Park,329729,0,0,0
37151,Point Reyes NS,2265301,0,0,37151
0,President's Park,715911,0,0,0
23455,Prince William Forest Park,339693,21599,1551,305
0,Pu'uhonua o Honaunau NHP,414410,0,0,0
5997,Redwood NP,504722,2721,0,3276
0,Richmond NBP,197242,0,0,0
1842,Rio Grande W&SR,324,0,0,1842
0,River Raisin NBP,226354,0,0,0
0,Rock Creek Park,2416232,0,0,0
218813,Rocky Mountain NP,4670053,112791,64809,41213
0,Rosie The Riveter WWII Home Front NHP,50404,0,0,0
63790,Ross Lake NRA,1088528,39616,14118,10056
2185,Saguaro NP,1020226,0,0,2185
0,Saint Croix Island IHS,11613,0,0,0
68164,Saint Croix NSR,638258,0,0,68164
0,Saint-Gaudens NHP,31759,0,0,0
0,Salt River Bay NHP & Ecological Pres,5215,0,0,0
0,San Antonio Missions NHP,1281121,0,0,0
0,San Francisco Maritime NHP,4016598,0,0,0
0,San Juan Island NHP,292507,0,0,0
144,Santa Monica Mountains NRA,707566,0,0,144
0,Saratoga NHP,145118,0,0,0
231638,Sequoia NP,1246053,133088,68679,29871
211860,Shenandoah NP,1425507,119649,59820,32391
0,Sitka NHP,232876,0,0,0
140202,Sleeping Bear Dunes NL,1570001,59238,61677,19287
0,Stones River NB,284516,0,0,0
0,Tallgrass Prairie NPRES,33750,0,0,0
0,Theodore Roosevelt Island,151500,0,0,0
38121,Theodore Roosevelt National Park,691658,16862,20524,735
0,Thomas Edison NHP,42224,0,0,0
0,Thomas Jefferson MEM,3096895,0,0,0
0,Timucuan EHP,1205065,0,0,0
0,Tumacacori NHP,39704,0,0,0
0,Upper Delaware S&RR,215537,0,0,0
