,Park_Name,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
141,Fort Donelson National Battlefield,fodo,"KY,TN",36.49019078,-87.92445695,National Battlefield,"['Auto and ATV', 'Scenic Driving', 'Guided Tours', 'Self-Guided Tours - Auto', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Fort Dupont Park,fodu,DC,38.87731289,-76.94955824,,"['Arts and Culture', 'Live Music', 'Biking', 'Mountain Biking', 'Food', 'Picnicking', 'Junior Ranger Program', 'Wildlife Watching']",Arts and Culture,Live Music,Biking,Mountain Biking,Food,Picnicking,Junior Ranger Program,Wildlife Watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Fort Foote Park,fofo,MD,38.76901785,-77.02812387,Park,"['Wildlife Watching', 'Birdwatching']",Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Fort Frederica National Monument,fofr,GA,31.2214699,-81.39452014,National Monument,"['Biking', 'Guided Tours', 'Hiking']",Biking,Guided Tours,Hiking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Fort Laramie National Historic Site,fola,WY,42.20301694,-104.5459112,National Historic Site,"['Fishing', 'Freshwater Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Living History', 'Historic Weapons Demonstration', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Fishing,Freshwater Fishing,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Living History,Historic Weapons Demonstration,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Fort Larned National Historic Site,fols,KS,38.18047491,-99.21836664,National Historic Site,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Fort Matanzas National Monument,foma,FL,29.7121489,-81.23567535,National Monument,"['Fishing', 'Saltwater Fishing', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program']",Fishing,Saltwater Fishing,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Fort McHenry National Monument and Historic Shrine,fomc,MD,39.26395314,-76.58044165,National Monument and Historic Shrine,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Live Music', 'Theater', 'Biking', 'Road Biking', 'Compass and GPS', 'Geocaching', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Paddling', 'Kayaking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Downhill Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Theater,Biking,Road Biking,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Arts and Crafts,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Paddling,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Downhill Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,
149,Fort Monroe National Monument,fomr,VA,37.01733343,-76.30103195,National Monument,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Citizen Science', 'Volunteer Vacation', 'Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Fort Necessity National Battlefield,fone,PA,39.81306048,-79.59033344,National Battlefield,"['Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Playground', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Fort Point National Historic Site,fopo,CA,37.80837439,-122.473747,National Historic Site,"['Arts and Culture', 'Theater', 'Fishing', 'Living History', 'Historic Weapons Demonstration', 'Park Film', 'Museum Exhibits']",Arts and Culture,Theater,Fishing,Living History,Historic Weapons Demonstration,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Fort Pulaski National Monument,fopu,GA,32.0308274,-80.93361681,National Monument,"['Biking', 'Mountain Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits']",Biking,Mountain Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Fort Raleigh National Historic Site,fora,NC,35.93278602,-75.71496865,National Historic Site,"['Arts and Culture', 'Theater', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Theater,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Fort Scott National Historic Site,fosc,KS,37.84358849,-94.70429174,National Historic Site,"['Guided Tours', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Fort Smith National Historic Site,fosm,"AR,OK",35.38834746,-94.43129079,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Fort Stanwix National Monument,fost,NY,43.21053441,-75.45557626,National Monument,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'First Person Interpretation', 'Junior Ranger Program', 'Snow Play', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Hiking,Front-Country Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Snow Play,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Fort Sumter and Fort Moultrie National Historical Park,fosu,SC,32.75654469,-79.87068744,National Historical Park,"['Astronomy', 'Stargazing', 'Boating', 'Boat Tour', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Walking', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Stargazing,Boating,Boat Tour,Fishing,Saltwater Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hands-On,Citizen Science,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Fort Union National Monument,foun,NM,35.90700629,-105.0145185,National Monument,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Fort Union Trading Post National Historic Site,fous,"MT,ND",48.00075828,-104.0375238,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Guided Tours,Self-Guided Tours - Walking,Living History,Reenactments,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Fort Vancouver National Historic Site,fova,"OR,WA",45.62234841,-122.6617043,National Historic Site,"['Arts and Culture', 'Craft Demonstrations', 'Cultural Demonstrations', 'Biking', 'Guided Tours', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Playground', 'Wildlife Watching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Biking,Guided Tours,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Playground,Wildlife Watching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Fort Washington Park,fowa,MD,38.7117,-77.0302,Park,"['Fishing', 'Food', 'Picnicking', 'Living History', 'Historic Weapons Demonstration', 'Shopping', 'Bookstore and Park Store']",Fishing,Food,Picnicking,Living History,Historic Weapons Demonstration,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Fossil Butte National Monument,fobu,WY,41.85635223,-110.7624754,National Monument,"['Auto and ATV', 'Scenic Driving', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Auto and ATV,Scenic Driving,Hiking,Junior Ranger Program,Wildlife Watching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Franklin Delano Roosevelt Memorial,frde,DC,38.88341274,-77.04311542,,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Frederick Douglass National Historic Site,frdo,DC,38.86298458,-76.98508147,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Frederick Law Olmsted National Historic Site,frla,MA,42.32424266,-71.13202567,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Fredericksburg & Spotsylvania National Military Park,frsp,VA,38.29378,-77.46734,National Military Park,"['Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Front-Country Hiking', 'Living History', 'Reenactments', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Freedom Riders National Monument,frri,AL,33.6352691650391,-85.9064331054688,National Monument,"['Guided Tours', 'Self-Guided Tours - Auto']",Guided Tours,Self-Guided Tours - Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Friendship Hill National Historic Site,frhi,PA,39.77543423,-79.92504169,National Historic Site,"['Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits']",Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Gates Of The Arctic National Park & Preserve,gaar,AK,67.75961636,-153.2917758,National Park & Preserve,"['Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Climbing', 'Rock Climbing', 'Mountain Climbing', 'Hiking', 'Backcountry Hiking', 'Off-Trail Permitted Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Whitewater Rafting']",Camping,Backcountry Camping,Canoe or Kayak Camping,Climbing,Rock Climbing,Mountain Climbing,Hiking,Backcountry Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Whitewater Rafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Gateway Arch National Park,jeff,MO,38.6258069,-90.1892508,National Park,"['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Boat Tour', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Astronomy,Stargazing,Biking,Road Biking,Food,Dining,Picnicking,Guided Tours,Boat Tour,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Gateway National Recreation Area,gate,"NY,NJ",40.56536246,-73.9171087,National Recreation Area,"['Biking', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Paddling', 'Kayaking', 'Swimming', 'Saltwater Swimming']",Biking,Boating,Camping,Fishing,Guided Tours,Paddling,Kayaking,Swimming,Saltwater Swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Gauley River National Recreation Area,gari,WV,38.20614947,-81.00420836,National Recreation Area,"['Boating', 'Camping', 'Car or Front Country Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Paddling', 'Kayaking', 'Whitewater Rafting', 'Junior Ranger Program']",Boating,Camping,Car or Front Country Camping,RV Camping,Fishing,Freshwater Fishing,Paddling,Kayaking,Whitewater Rafting,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,General Grant National Memorial,gegr,NY,40.81332817,-73.96331542,National Memorial,"['Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,George Rogers Clark National Historical Park,gero,IN,38.67912659,-87.53545212,National Historical Park,"['Astronomy', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Arts and Crafts', 'Living History', 'Historic Weapons Demonstration', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Astronomy,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
