,Rank,Park_Name,Death Total,Park Visits (2007-2018),Deaths per 10 Million Visits,Unnamed: 0,Park_Code,state,Lat,Long,designation,activities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
46,48,Hawaii Volcanoes National Park,11,"18,242,187",6.03,212,havo,HI,19.335503600000003,-155.4700257,National Park,"['Arts and Culture', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Guided Tours', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Arts and Culture,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,49,Sleeping Bear Dunes National Lakeshore,10,"16,745,401",5.97,398,slbe,MI,44.92844962,-86.02706591,National Lakeshore,"['Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Group Camping', 'Fishing', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Junior Ranger Program', 'Tubing', 'River Tubing', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Swimming', 'Freshwater Swimming']",Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Group Camping,Fishing,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Hunting and Gathering,Hunting,Paddling,Junior Ranger Program,Tubing,River Tubing,Skiing,Cross-Country Skiing,Snowshoeing,Swimming,Freshwater Swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,50,Amistad National Recreation Area,10,"17,570,699",5.69,14,amis,TX,29.53539777,-101.07582099999999,National Recreation Area,"['Boating', 'Motorized Boating', 'Jet Skiing', 'Camping', 'Backcountry Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Junior Ranger Program', 'SCUBA Diving', 'Swimming', 'Freshwater Swimming', 'Water Skiing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Boating,Motorized Boating,Jet Skiing,Camping,Backcountry Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Hiking,Hunting and Gathering,Hunting,Paddling,Junior Ranger Program,SCUBA Diving,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,51,Gateway National Recreation Area,51,"94,508,303",5.4,171,gate,"NY,NJ",40.56536246,-73.9171087,National Recreation Area,"['Biking', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Paddling', 'Kayaking', 'Swimming', 'Saltwater Swimming']",Biking,Boating,Camping,Fishing,Guided Tours,Paddling,Kayaking,Swimming,Saltwater Swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,52,Acadia National Park,17,"31,795,162",5.35,1,acad,ME,44.409286,-68.247501,National Park,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Biking,Boating,Camping,Group Camping,Climbing,Rock Climbing,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Ice Skating,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Freshwater Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,,,,,,,,,,
51,53,Blue Ridge Parkway,97,"182,536,014",5.31,44,blri,"NC,VA",35.5657195273801,-82.4864845870113,Parkway,"['Arts and Culture', 'Live Music', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Camping', 'Car or Front Country Camping', 'Fishing', 'Freshwater Fishing', 'Food', 'Picnicking', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Live Music,Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Car or Front Country Camping,Fishing,Freshwater Fishing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,54,Gulf Islands National Seashore,24,"49,204,556",4.88,202,guis,"FL,MS",30.29924926,-87.75064297,National Seashore,"['Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Jet Skiing', 'Boat Tour', 'Camping', 'Backcountry Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Hunting and Gathering', 'Hunting', 'Living History', 'Historic Weapons Demonstration', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Biking,Mountain Biking,Road Biking,Boating,Motorized Boating,Jet Skiing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Living History,Historic Weapons Demonstration,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,
53,55,Golden Gate National Recreation Area,86,"177,394,212",4.85,185,goga,CA,37.85982543,-122.6007386,National Recreation Area,"['Arts and Culture', 'Biking', 'Mountain Biking', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Saltwater Fishing', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Living History', 'Reenactments', 'Junior Ranger Program', 'Surfing', 'Wildlife Watching', 'Birdwatching', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",Arts and Culture,Biking,Mountain Biking,Camping,Car or Front Country Camping,Group Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Junior Ranger Program,Surfing,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,56,Chesapeake & Ohio Canal National Historical Park,18,"51,351,603",3.51,87,choh,"DC,MD,WV",39.000283691955296,-77.2481399539388,National Historical Park,"['Biking', 'Road Biking', 'Boating', 'Boat Tour', 'Camping', 'Car or Front Country Camping', 'Group Camping', 'Fishing', 'Freshwater Fishing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Shopping']",Biking,Road Biking,Boating,Boat Tour,Camping,Car or Front Country Camping,Group Camping,Fishing,Freshwater Fishing,Guided Tours,Boat Tour,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Ice Skating,Paddling,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,57,Colonial National Historical Park,14,"39,977,457",3.5,96,colo,VA,37.22824435,-76.61998123,National Historical Park,"['Arts and Culture', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Road Biking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Junior Ranger Program']",Arts and Culture,Auto and ATV,Scenic Driving,Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,58,Cape Cod National Seashore,17,"53,034,104",3.21,62,caco,MA,41.92381465,-70.04319832,National Seashore,"['Auto and ATV', 'Auto Off-Roading', 'Biking', 'Camping', 'RV Camping', 'Fishing', 'Freshwater Fishing', 'Saltwater Fishing', 'Golfing', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Hiking', 'Front-Country Hiking', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",Auto and ATV,Auto Off-Roading,Biking,Camping,RV Camping,Fishing,Freshwater Fishing,Saltwater Fishing,Golfing,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs,,,,,,,,,,,,,,,,,,,,,,,
57,59,George Washington Memorial Parkway,16,"89,846,911",1.78,177,gwmp,"DC,MD,VA",38.9628,-77.1495,Memorial Parkway,"['Arts and Culture', 'Live Music', 'Biking', 'Road Biking', 'Food', 'Picnicking', 'Wildlife Watching', 'Birdwatching']",Arts and Culture,Live Music,Biking,Road Biking,Food,Picnicking,Wildlife Watching,Birdwatching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
